Scrip,Company,Symbol
523395,3M India Ltd,3MINDIA.BO
524208,Aarti Industries Ltd.,AARTIIND.BO
500002,ABB India Ltd,ABB.BO
500488,Abbott India Ltd,ABBOTINDIA.BO
500410,ACC Ltd,ACC.BO
532921,Adani Ports and Special Economic Zone,ADANIPORTS.BO
533096,Adani Power Ltd,ADANIPOWER.BO
539254,Adani Transmission Ltd,ADANITRANS.BO
540691,Aditya Birla Capital Ltd,ABCAPITAL.BO
535755,Aditya Birla Fashion and Retail Ltd,ABFRL.BO
540025,Advanced Enzyme Technologies Ltd,ADVENZYMES.BO
500003,Aegis Logistics Ltd,AEGISLOG.BO
532683,AIA Engineering Ltd,AIAENG.BO
532331,Ajanta Pharma Ltd,AJANTPHARM.BO
500710,Akzo Nobel India Ltd,AKZOINDIA.BO
533573,Alembic Pharmaceuticals Ltd,APLLTD.BO
539523,Alkem Laboratories Ltd,ALKEM.BO
532480,Allahabad Bank,ALBK.BO
532749,AllCargo Logistics Ltd,ALLCARGO.BO
500008,Amara Raja Batteries Ltd,AMARAJABAT.BO
500425,Ambuja Cements Ltd,AMBUJACEM.BO
532418,Andhra Bank,ANDHRABANK.BO
532259,Apar Industries Ltd,APARINDS.BO
533758,APL Apollo Tubes Ltd,APLAPOLLO.BO
508869,Apollo Hospitals Enterprise Ltd,APOLLOHOSP.BO
500877,Apollo Tyres Ltd,APOLLOTYRE.BO
515030,Asahi India Glass Ltd,ASAHIINDIA.BO
500477,Ashok Leyland Ltd,ASHOKLEY.BO
533271,Ashoka Buildcon Ltd,ASHOKA.BO
500820,Asian Paints Ltd,ASIANPAINT.BO
540975,Aster DM Healthcare Ltd,ASTERDM.BO
532830,Astral Polytechnik Ltd,ASTRAL.BO
506820,AstraZeneca Pharm India,ASTRAZEN.BO
500027,Atul Ltd.,ATUL.BO
540611,AU Small Finance Bank Ltd,AUBANK.BO
524804,Aurobindo Pharma Ltd,AUROPHARMA.BO
512573,Avanti Feeds Ltd,AVANTI.BO
540376,Avenue Supermarts Ltd,DMART.BO
532215,Axis Bank Ltd,AXISBANK.BO
532977,Bajaj Auto Ltd,BAJAJ-AUTO.BO
533229,Bajaj Consumer Care Ltd,BAJAJCON.BO
500031,Bajaj Electricals Ltd,BAJAJELEC.BO
500034,Bajaj Finance Ltd,BAJFINANCE.BO
532978,Bajaj Finserv Ltd,BAJAJFINSV.BO
500490,Bajaj Holdings and Investment Ltd,BAJAJHLDNG.BO
502355,Balkrishna Industries Ltd,BALKRISIND.BO
523319,Balmer Lawrie & Co. Ltd.,BALMLAWRIE.BO
541153,Bandhan Bank Ltd,BANDHANBNK.BO
532134,Bank of Baroda,BANKBARODA.BO
532149,Bank of India,BANKINDIA.BO
532525,Bank Of Maharashtra,MAHABANK.BO
500042,BASF India Limited,BASF.BO
500043,Bata India Ltimited,BATAINDIA.BO
506285,Bayer CropScience Ltd India,BAYERCROP.BO
500048,BEML Ltd,BEML.BO
509480,Berger Paints India Ltd,BERGEPAINT.BO
541143,Bharat Dynamics Ltd,BDL.BO
500049,Bharat Electronics Ltd,BEL.BO
533228,Bharat Financial Inclusion Ltd,BHARATFIN.BO
500493,Bharat Forge Ltd,BHARATFORG.BO
500103,Bharat Heavy Electricals Ltd,BHEL.BO
500547,Bharat Petroleum Corp Ltd,BPCL.BO
532454,Bharti Airtel Ltd,BHARTIARTL.BO
534816,Bharti Infratel Ltd.,INFRATEL.BO
532523,Biocon Ltd,BIOCON.BO
500335,Birla Corp Ltd,BIRLACORPN.BO
506197,Bliss Gvs Pharma Ltd,BLISSGVS.BO
526612,Blue Dart Express Ltd,BLUEDART.BO
500067,Blue Star Ltd,BLUESTARCO.BO
501425,Bombay Burmah Trading Corp Ltd.,BBTC.BO
500020,Bombay Dyeing & Manufacturing Co Ltd,BOMDYEING.BO
500530,Bosch Ltd,BOSCHLTD.BO
500825,Britannia Industries Ltd.,BRITANNIA.BO
532321,Cadila Healthcare Ltd,CADILAHC.BO
511196,Can Fin Homes Ltd,CANFINHOME.BO
532483,Canara Bank,CANBK.BO
524742,Caplin Point Laboratories Ltd,CAPPL.BO
513375,Carborundum Universal Ltd,CARBORUNIV.BO
534804,CARE Ratings Ltd,CARERATING.BO
500870,Castrol India Ltd,CASTROLIND.BO
519600,CCL Products (India) Ltd.,CCL.BO
500878,CEAT Ltd,CEATLTD.BO
532885,Central Bank of India,CENTRALBK.BO
501150,Centrum Capital Ltd,CENTRUM.BO
532548,Century Plyboards India Ltd,CENTURYPLY.BO
500040,Century Textile & Industries Ltd,CENTURYTEX.BO
532443,Cera Sanitaryware Ltd,CERA.BO
500093,CG Power and Industrial Solutions Ltd,CGPOWER.BO
500085,Chambal Fertilizers & Chemicals Ltd,CHAMBLFERT.BO
500110,Chennai Petroleum Corp Ltd,CHENNPETRO.BO
511243,Cholamandalam Investment & Finance Co. Ltd.,CHOLAFIN.BO
500087,Cipla Ltd India,CIPLA.BO
532210,City Union Bank Ltd.,CUB.BO
533278,Coal India Ltd,COALINDIA.BO
540678,Cochin Shipyard Ltd,COCHINSHIP.BO
539436,Coffee Day Enterprises Ltd,COFFEEDAY.BO
500830,Colgate-Palmolive India Ltd,COLPAL.BO
531344,Container Corp Of India,CONCOR.BO
506395,Coromandel International Ltd,COROMANDEL.BO
532179,Corp Bank,CORPBANK.BO
500092,CRISIL Ltd,CRISIL.BO
539876,Crompton Greaves Consumer Electricals Ltd,CROMPTON.BO
500480,Cummins India Ltd,CUMMINSIND.BO
532175,Cyient Ltd,CYIENT.BO
500096,Dabur India Ltd,DABUR.BO
533151,DB Corp Ltd,DBCORP.BO
532772,DCB Bank Ltd,DCBBANK.BO
523367,DCM Shriram Ltd,DCMSHRIRAM.BO
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.BO
506401,Deepak Nitrite Limited,DEEPAKNI.BO
532848,Delta Corp. Ltd.,DELTACORP.BO
532121,Dena Bank,DENABANK.BO
511072,Dewan Housing Finance Corp Ltd,DHFL.BO
507717,Dhanuka Agritech Ltd,DHANUKA.BO
540047,Dilip Buildcon Ltd,DBL.BO
532839,Dish TV India Ltd,DISHTV.BO
540701,Dishman Carbogen Amics Ltd,DCAL.BO
532488,Divi's Laboratories Ltd,DIVISLAB.BO
532868,DLF Ltd,DLF.BO
500124,Dr Reddy's Laboratories Ltd,DRREDDY.BO
539524,Dr. Lal PathLabs Ltd,LALPATHLAB.BO
532927,eClerx Services Ltd,ECLERX.BO
532922,Edelweiss Financial Services Ltd,EDELWEISS.BO
505200,Eicher Motors Ltd,EICHERMOT.BO
500125,EID Parry India Ltd,EIDPARRY.BO
500840,EIH Ltd,EIHOTEL.BO
522074,Elgi Equipments Ltd.,ELGIEQUIP.BO
531162,Emami Ltd,EMAMILTD.BO
540153,Endurance Technologies Ltd,ENDURANCE.BO
532178,Engineers India Ltd,ENGINERSIN.BO
539844,Equitas Holdings Ltd,EQUITAS.BO
540596,Eris Lifesciences Ltd,ERIS.BO
500495,Escorts Ltd,ESCORTS.BO
500135,Essel Propack Ltd.,ESSELPRO.BO
531508,Eveready Industries India Ltd,EVEREADY.BO
500086,Exide Industries Ltd,EXIDEIND.BO
531599,FDC Ltd,FDC.BO
500469,Federal Bank Ltd,FEDERALBNK.BO
500144,Finolex Cables Ltd,FINCABLES.BO
500940,Finolex Industries Ltd,FINOLEXIND.BO
532809,Firstsource Solutions Ltd,FSL.BO
502865,Forbes & Company Ltd.,FORBESCO.BO
500033,Force Motors Ltd,FORCEMOT.BO
532843,Fortis Healthcare Ltd.,FORTIS.BO
533400,Future Consumer Ltd,FCONSUMER.BO
536507,Future Lifestyle Fashions Limited,FLFL.BO
540064,Future Retail Ltd,FRETAIL.BO
532155,Gail India Ltd,GAIL.BO
540935,Galaxy Surfactants Ltd,GALAXYSURF.BO
532622,Gateway Distriparks Ltd,GDL.BO
532767,Gayatri Projects Ltd,GAYAPROJ.BO
532309,GE Power India Ltd,GEPIL.BO
522275,GE T&D India Ltd,GET&D.BO
540755,General Insurance Corporation of India,GICRE.BO
500171,GHCL Ltd,GHCL.BO
